dx,dy,action,speed_multiplier,enemy_count
-157,-419,0,1.0,8
3,-395,2,1.0,8
0,-376,2,1.0,7
0,-351,2,1.0,7
-58,-378,0,1.0,8
0,-363,0,1.0,8
2,-266,2,1.0,8
0,-319,2,1.0,7
0,-244,0,1.0,6
7,-283,2,1.0,6
0,-256,2,1.0,5
0,-228,2,1.0,5
1,-252,2,1.0,4
-1,-240,2,1.0,4
-1,-220,1,1.0,3
-2,-194,2,1.0,3
-2,-194,2,1.0,3
-1,-200,0,1.0,2
12,-199,2,1.0,2
12,-199,2,1.0,2
-42,-192,2,1.0,1
-42,-192,0,1.0,1
18,-192,2,1.0,1
18,-192,2,1.0,1
18,-192,1,1.0,1
-17,-192,2,1.0,1
-17,-192,2,1.0,1
-17,-192,2,1.0,1
-17,-192,2,1.0,1
-17,-192,0,1.0,1
13,-192,2,1.0,1
13,-192,2,1.0,1
13,-192,2,1.0,1
-136,-362,0,1.0,10
0,-400,2,1.0,10
0,-376,0,1.0,9
-16,-267,2,1.0,9
-1,-376,1,1.0,8
-18,-321,2,1.0,8
0,-232,2,1.0,7
0,-260,2,1.0,6
0,-236,2,1.0,5
-1,-234,2,1.0,4
0,-200,2,1.0,3
20,-199,0,1.0,2
70,-187,1,1.0,2
11,-189,2,1.0,2
-15,-187,0,1.0,1
5,-187,2,1.0,1
5,-187,1,1.0,1
-25,-187,2,1.0,1
-25,-187,0,1.0,1
0,-187,2,1.0,1
0,-187,2,1.0,1
0,-187,2,1.0,1
-91,-418,0,1.0,14
-1,-313,2,1.0,14
0,-330,2,1.0,13
-133,-456,0,1.0,8
-51,-443,0,1.0,8
-3,-380,2,1.0,8
0,-278,2,1.0,7
0,-271,2,1.0,7
0,-263,2,1.0,7
0,-255,2,1.0,7
0,-244,2,1.0,6
0,-324,2,1.0,6
0,-233,2,1.0,6
0,-225,2,1.0,6
0,-286,2,1.0,5
-1,-266,2,1.0,4
0,-255,2,1.0,4
19,-285,2,1.0,3
-2,-274,2,1.0,3
0,-265,2,1.0,3
-22,-195,0,1.0,2
-3,-197,2,1.0,2
-3,-197,2,1.0,2
-3,-197,2,1.0,1
-3,-197,2,1.0,1
-3,-197,2,1.0,1
-3,-197,2,1.0,1
-147,-456,0,1.0,10
-1,-352,2,1.0,10
0,-387,2,1.0,10
0,-334,2,1.0,9
0,-370,2,1.0,9
0,-359,2,1.0,9
0,-350,2,1.0,8
0,-342,2,1.0,8
-2,-242,2,1.0,8
0,-317,2,1.0,7
0,-308,2,1.0,7
0,-302,2,1.0,7
0,-294,2,1.0,7
0,-285,2,1.0,6
0,-275,2,1.0,6
0,-266,2,1.0,6
0,-301,2,1.0,5
0,-200,2,1.0,5
0,-200,2,1.0,5
0,-272,2,1.0,4
0,-226,2,1.0,4
0,-260,2,1.0,4
0,-212,2,1.0,4
0,-246,2,1.0,4
-1,-238,2,1.0,3
-1,-233,2,1.0,3
-1,-227,2,1.0,3
1,-219,2,1.0,3
1,-213,2,1.0,3
0,-217,2,1.0,2
-1,-210,2,1.0,2
-1,-203,2,1.0,2
0,-200,2,1.0,2
0,-200,2,1.0,2
-55,-197,2,1.0,1
-48,-194,2,1.0,1
-103,-192,0,1.0,1
-41,-189,0,1.0,1
9,-189,2,1.0,1
-132,-362,0,1.0,12
0,-356,2,1.0,12
0,-335,2,1.0,11
1,-276,0,1.0,11
84,-294,2,1.0,11
12,-362,0,1.0,11
24,-357,2,1.0,11
8,-350,2,1.0,11
10,-253,2,1.0,10
0,-240,2,1.0,10
-1,-233,2,1.0,10
0,-315,2,1.0,10
0,-216,2,1.0,9
0,-293,2,1.0,9
0,-291,2,1.0,9
0,-200,1,1.0,9
-126,-177,2,1.0,8
-108,-169,2,1.0,8
-107,-169,0,1.0,8
3,-169,2,1.0,8
0,-219,2,1.0,8
-1,-212,2,1.0,7
0,-200,2,1.0,7
-2,-200,2,1.0,6
-2,-200,2,1.0,6
-2,-200,2,1.0,6
-17,-194,2,1.0,6
