dx,dy,action,speed_multiplier,enemy_count
-14,-194,2,1.0,6
-17,-194,0,1.0,5
-3,-195,2,1.0,5
-3,-195,2,1.0,5
15,-163,2,1.0,5
12,-149,0,1.0,5
1,-192,2,1.0,5
1,-192,2,1.0,5
28,-194,2,1.0,4
28,-193,2,1.0,4
28,-193,2,1.0,4
28,-193,1,1.0,4
0,-163,2,1.0,4
2,-157,2,1.0,3
2,-157,2,1.0,3
2,-157,2,1.0,3
2,-157,2,1.0,3
2,-157,2,1.0,3
-5,-163,2,1.0,2
55,-163,2,1.0,2
-75,-184,2,1.0,2
-75,-184,2,1.0,2
-75,-184,0,1.0,2
5,-184,2,1.0,2
5,-184,2,1.0,2
5,-184,2,1.0,2
142,-140,1,1.0,1
-63,-140,0,1.0,1
17,-140,2,1.0,1
17,-140,1,1.0,1
-28,-140,2,1.0,1
-28,-140,0,1.0,1
-13,-140,2,1.0,1
-13,-140,2,1.0,1
-106,-317,0,1.0,14
-1,-298,2,1.0,14
0,-281,2,1.0,13
0,-266,2,1.0,13
0,-301,2,1.0,13
0,-243,2,1.0,10
0,-265,2,1.0,10
0,-257,2,1.0,10
0,-300,2,1.0,9
0,-282,2,1.0,9
0,-230,1,1.0,9
-137,-201,2,1.0,9
-37,-178,0,1.0,9
-12,-178,2,1.0,9
-40,-173,2,1.0,8
-40,-173,2,1.0,8
-40,-173,2,1.0,8
-40,-173,2,1.0,8
-40,-173,2,1.0,8
15,-195,0,1.0,8
-10,-185,2,1.0,8
25,-172,2,1.0,7
22,-171,2,1.0,7
22,-171,0,1.0,7
-11,-120,2,1.0,7
2,-171,2,1.0,7
2,-171,2,1.0,6
21,-139,1,1.0,6
-119,-137,2,1.0,6
-119,-137,0,1.0,6
-39,-137,2,1.0,6
-39,-137,2,1.0,6
-39,-137,0,1.0,6
71,-136,2,1.0,6
-72,-362,0,1.0,14
0,-313,0,1.0,10
0,-343,0,1.0,8
0,-320,0,1.0,7
0,-297,0,1.0,6
0,-252,2,1.0,5
0,-274,2,1.0,4
-1,-226,2,1.0,4
0,-263,2,1.0,4
0,-257,2,1.0,3
0,-252,2,1.0,3
0,-246,2,1.0,3
0,-239,2,1.0,3
0,-233,2,1.0,3
0,-230,2,1.0,2
-2,-222,2,1.0,2
-2,-216,2,1.0,2
0,-211,2,1.0,2
-59,-401,0,1.0,8
0,-293,2,1.0,8
-11,-264,2,1.0,7
1,-379,2,1.0,6
0,-353,2,1.0,6
1,-336,2,1.0,5
1,-279,2,1.0,5
0,-272,2,1.0,5
-1,-257,2,1.0,4
-1,-242,2,1.0,4
0,-266,0,1.0,3
25,-260,2,1.0,3
28,-235,2,1.0,2
0,-221,2,1.0,2
143,-202,1,1.0,2
-17,-193,2,1.0,2
-91,-401,0,1.0,8
0,-296,2,1.0,8
0,-338,2,1.0,8
0,-416,2,1.0,7
0,-411,2,1.0,7
0,-406,2,1.0,7
0,-353,2,1.0,7
-204,-321,0,1.0,8
-11,-445,2,1.0,8
0,-440,2,1.0,8
-1,-433,2,1.0,8
0,-342,2,1.0,7
0,-421,0,1.0,7
18,-279,2,1.0,7
13,-411,2,1.0,7
2,-407,2,1.0,7
0,-346,2,1.0,6
0,-391,2,1.0,6
0,-336,2,1.0,6
0,-380,2,1.0,6
0,-284,2,1.0,6
-75,-317,0,1.0,8
-30,-437,2,1.0,8
-1,-416,2,1.0,7
0,-370,2,1.0,7
0,-365,2,1.0,7
-1,-400,2,1.0,7
0,-350,2,1.0,6
0,-343,2,1.0,6
0,-376,2,1.0,6
0,-321,2,1.0,6
0,-363,2,1.0,5
0,-307,2,1.0,5
0,-350,2,1.0,5
0,-345,2,1.0,5
0,-284,0,1.0,4
-2,-279,2,1.0,4
-131,-360,0,1.0,8
-19,-349,2,1.0,8
1,-337,2,1.0,8
-6,-332,2,1.0,7
0,-326,2,1.0,7
-1,-282,2,1.0,7
0,-314,2,1.0,7
0,-308,2,1.0,7
-2,-419,0,1.0,8
0,-270,2,1.0,8
0,-231,0,1.0,6
